"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1958","Registration with correct email, username and password","LMS system","2026-08-04","passed","2026-08-04","Registration","Authentication","",""
"","3424","Edit course","LMS system","2026-08-04","passed","2026-08-04","Courses","Courses","",""
"","1511","Check displaying of empty courses list","LMS system","2026-08-04","passed","2026-08-04","Courses","Courses","",""
"","1901","Check displaying of dashboard page","LMS system","2026-08-04","passed","2026-08-04","Dashboard","Dashboard","",""
"","2236","User login with wrong email or password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","3022","Create course","LMS system","2026-08-04","passed","2026-08-04","Courses","Courses","",""
"","3354","User login with correct email and password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","2725","Edit course","LMS system","2026-08-04","passed","2026-08-04","Courses","Courses","",""
"","2175","User login with wrong email or password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","2467","Create course","LMS system","2026-08-04","passed","2026-08-04","Courses","Courses","",""
"","1697","User login with wrong email or password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","1365","Navigation from login page to registration page","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","1732","User login with wrong email or password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","1601","Check displaying of empty courses list","LMS system","2026-08-04","passed","2026-08-04","Courses","Courses","",""
"","1816","Check displaying of dashboard page","LMS system","2026-08-04","passed","2026-08-04","Dashboard","Dashboard","",""
"","3265","User login with correct email and password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","1726","User login with wrong email or password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","1605","User login with wrong email or password","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","1412","Navigation from login page to registration page","LMS system","2026-08-04","passed","2026-08-04","Authorization","Authentication","",""
"","1753","Registration with correct email, username and password","LMS system","2026-08-04","passed","2026-08-04","Registration","Authentication","",""
